MIS_Status,LoanNr_ChkDgt,Name,City,State,Zip,Bank,BankState,NAICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,DisbursementDate,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,xx
P I F,8509513009,M.A. CIRILLO & ASSOCIATES,SANTA ANA,CA,92701,CDC SMALL BUS. FINAN CORP,CA,531190,12978,1995,240,13,1,9,4,1,0,N,N,13249,105000,0,105000,105000,0,1,1,0,7200,20449
CHGOFF,4414993001,U-SAVE AUTO RENTAL,SAN MARCOS,CA,92069,GE CAP. SMALL BUS. FINAN CORP,TX,532111,11408,1991,31,1,2,0,0,1,0,N,N,11442,60000,0,60000,54000,1,0,0.9,0,930,12372
CHGOFF,2578625006,"Hands In The Cookie Jar, LLC",OAKLAND,CA,94606,BANK OF AMERICA NATL ASSOC,NC,531390,17364,2007,73,7,1,1,7,0,1,Y,N,17378,82500,0,75000,37500,0,0,0.5,0,2190,19568
P I F,6479624002,JOHN W HIBBARD AND LINDA LEE,SAN JOSE,CA,95126,BRIDGE BANK NATL ASSOC,CA,531320,15895,2003,300,21,1,0,21,1,1,0,N,15978,150000,0,150000,127500,0,1,0.85,0,9000,24978
P I F,6770984000,FIRST AMERICAN REAL ESTATE,SAN BERNARDINO,CA,92405,WILSHIRE BANK,CA,531210,15986,2004,300,4,1,4,0,1,1,0,N,16039,135000,0,135000,114750,0,1,0.85,0,9000,25039
P I F,2066455010,JOHN H REDDOCH,WOODLAND,CA,95695,U.S. BANK NATIONAL ASSOCIATION,OH,531210,17086,2007,84,1,1,0,1,0,1,Y,N,17135,62758,0,33000,16500,0,0,0.5,0,2520,19655
P I F,3769344006,GARRETT BUS & LIMOUSINE,SHINGLE SPRINGS,CA,95682,UMPQUA BANK,CA,532111,14762,2000,60,1,1,0,1,1,1,0,N,14791,25200,0,25200,20160,0,0,0.8,0,1800,16591
P I F,7473154007,M G DIGITAL INC,CULVER CITY,CA,90230,BANK OF AMERICA NATL ASSOC,NC,532490,16217,2004,84,2,1,0,2,1,1,Y,N,16314,50000,0,50000,25000,0,0,0.5,0,2520,18834
P I F,2909966005,ALL AMERICAN REAL ESTATE AND M,STANTON,CA,90680,"READYCAP LENDING, LLC",CA,531210,17370,2007,300,12,1,12,0,1,1,0,N,17409,1048000,0,1048000,786000,0,1,0.75,0,9000,26409
CHGOFF,2763436006,A.O REAL ESTATE GROUP INC,CHULA VISTA,CA,91913,AURORA BANK FSB,CO,531120,17275,2007,283,1,1,0,1,1,1,0,N,17286,373100,0,373100,279825,0,1,0.75,0,8490,25776
CHGOFF,2826415002,FUN 2 GO,WESTMINSTER,CA,92683,BANCO POPULAR NORTH AMERICA,NY,532292,17493,2008,3,8,1,0,8,0,1,Y,N,17531,79800,0,50000,25000,0,0,0.5,1,90,17621
CHGOFF,2616455005,Your Dream Home Mortgage DBA Y,GARDEN GROVE,CA,92844,BANK OF AMERICA NATL ASSOC,NC,531210,17381,2007,41,4,1,0,4,0,1,Y,N,17409,72500,0,35000,17500,0,0,0.5,0,1230,18639
P I F,7327534005,FUNDAMERICA FINANCIAL SERVICES,SANTA ANA,CA,92701,CDC SMALL BUS. FINAN CORP,CA,531390,16166,2004,240,20,1,10,0,1,1,N,N,16266,371000,0,372000,372000,0,1,1,0,7200,23466
CHGOFF,8752914007,ESTATE HOMES LA INC,WEST HOLLYWOOD (BR. P.O. NAME,CA,90069,WELLS FARGO BANK NATL ASSOC,SD,531210,16526,2005,84,1,1,0,1,1,1,Y,N,16556,320361,0,60000,30000,0,0,0.5,0,2520,19076
P I F,5754074004,SAMARTIF LLC,LOS ANGELES,CA,90007,BANK OF AMERICA NATL ASSOC,NC,532310,15615,2003,84,3,1,2,3,1,1,Y,N,15736,50000,0,50000,25000,0,0,0.5,0,2520,18256
P I F,2943056007,CENTRO FINANCIERO AMIGO AND CE,HUNTINGTON PARK,CA,90255,AMERICAS UNITED BANK,CA,531210,17392,2007,264,25,1,5,20,1,1,0,N,17409,1596200,0,1596200,1197150,0,1,0.75,0,7920,25329
P I F,7281434003,ALOTTA H20 WATER TRUCK SERVICE,YORBA LINDA,CA,92887,CAPITAL ONE NATL ASSOC,VA,532412,16149,2004,84,6,1,1,6,1,1,0,N,16191,50000,0,50000,25000,0,0,0.5,0,2520,18711
CHGOFF,1750875009,Master Realty,LOS ANGELES,CA,90005,BANK OF AMERICA NATL ASSOC,NC,531210,16896,2006,35,1,1,0,1,0,1,Y,N,17013,12414,0,10000,5000,0,0,0.5,1,1050,18063
CHGOFF,2498586003,REALTY HORIZON INC,GRANADA HILLS,CA,91344,"CITIBANK, N.A.",SD,531390,17101,2007,56,2,1,0,2,1,1,Y,N,17135,34307,0,25000,12500,0,0,0.5,0,1680,18815
CHGOFF,2910385009,"Centers Dynamic, Inc.",REDWOOD SHORES,CA,94065,BANK OF AMERICA NATL ASSOC,NC,531311,17548,2008,39,6,1,0,6,0,1,Y,N,17622,121526,0,50000,25000,0,0,0.5,0,1170,18792
P I F,6601024004,VILLAGE FINANCIAL GROUP INC,EL DORADO HILLS,CA,95762,SBA - EDF ENFORCEMENT ACTION,CO,531390,15935,2003,240,3,1,6,0,1,1,0,N,16021,284000,0,284000,284000,0,1,1,0,7200,23221
P I F,3396193009,PREMIER VIDEO,MISSION VIEJO,CA,92691,FIRST BANK,MO,532230,10654,1989,120,10,2,0,0,0,0,N,N,10712,252000,0,252000,214200,1,0,0.85,0,3600,14312
P I F,4220774003,MOUNTAIN LAKE PROPERTIES INC,BIG BEAR,CA,92315,"CITIBANK, N.A.",SD,531210,14993,2001,300,3,1,7,10,1,1,0,N,15006,306000,0,306000,229500,0,1,0.75,0,9000,24006
P I F,2300945003,Rex Joshua Hahn (EPC) to Zion,Bellflower,CA,90706,HANMI BANK,CA,531210,17224,2007,268,14,1,0,14,0,1,N,N,17256,481500,0,481500,361125,0,1,0.75,0,8040,25296
P I F,4892334003,EZ RENTALS CENTER,MONTCLAIR,CA,91763,NATIONAL BANK OF CALIFORNIA,CA,532310,15225,2001,120,23,1,0,23,1,1,0,N,15248,250000,0,250000,187500,0,0,0.75,0,3600,18848
CHGOFF,2176186009,HELP U SELL DISTINCTIVE HOMES,SAN DIEGO,CA,92116,MUFG UNION BANK NATL ASSOC,CA,531210,16975,2006,29,2,1,0,2,37481,1,Y,N,16982,115984,0,40000,20000,0,0,0.5,1,870,17852
P I F,1899965010,Empire Realty Funding & Invest,LONG BEACH,CA,90804,BANK OF AMERICA NATL ASSOC,NC,531210,16981,2006,84,3,2,0,3,0,2,Y,N,18109,5000,0,5000,2500,1,0,0.5,0,2520,20629
P I F,4947394008,LEE & ASSOCIATES COMMERCIAL RE,CARLSBAD,CA,92008,CDC SMALL BUS. FINAN CORP,CA,531390,15245,2001,240,30,1,5,25,1,1,N,N,15440,1000000,0,1000000,1000000,0,1,1,0,7200,22640
P I F,3478233001,MR. VIDEO,SACRAMENTO,CA,95825,FDIC/PLACER BANK OF COMMERCE,NY,532230,10785,1989,84,10,2,0,0,0,0,N,N,10804,200000,0,200000,170000,1,0,0.85,0,2520,13324
P I F,2797645001,FLORES PROFESSIONAL SERVICES I,SAN JOSE,CA,95112,"SUPERIOR FINANCIAL GROUP, LLC",CA,531210,17476,2008,109,3,1,4,3,0,1,N,N,17500,12500,0,12500,10625,0,0,0.85,0,3270,20770
CHGOFF,2581815005,"Doblin, Inc dba Doblin Solutio",VALLEY VILLAGE,CA,91607,BANK OF AMERICA NATL ASSOC,NC,531311,17365,2007,57,3,1,0,3,0,1,N,N,17378,77513,0,37000,18500,0,0,0.5,0,1710,19088
CHGOFF,6624034010,SOUL CITY VIDEO RENTALS,LOS ANGELES,CA,90037,BBCN BANK,CA,532230,15942,2003,79,1,1,1,1,1,0,0,N,15948,5000,0,5000,4250,0,0,0.85,0,2370,18318
CHGOFF,2682265005,Facilities Security Services,DEL MAR,CA,92014,BANK OF AMERICA NATL ASSOC,NC,531311,17415,2007,78,3,1,0,3,0,1,T,N,17439,50000,0,50000,25000,0,0,0.5,0,2340,19779
P I F,2124735010,Luxor International A.V. Corpo,SAN MATEO,CA,94404,U.S. BANK NATIONAL ASSOCIATION,OH,532490,17119,2007,84,1,2,2,3,0,1,Y,N,17135,102653,0,33000,16500,1,0,0.5,0,2520,19655
CHGOFF,2122996010,KEITH ANDERSON INC,PETALUMA,CA,94954,JPMORGAN CHASE BANK NATL ASSOC,IL,531311,16958,2006,58,2,1,0,2,1,2,Y,N,16982,67146,0,25000,12500,0,0,0.5,0,1740,18722
P I F,6358294003,ELITE REALTY INC,SAN DIEGO,CA,92130,BANK OF AMERICA NATL ASSOC,NC,531210,15854,2003,84,1,1,2,1,1,1,Y,N,16070,10000,0,10000,5000,0,0,0.5,0,2520,18590
P I F,9097334007,ADVANCED CONCEPTS ENTERPRISES,REDONDO BEACH,CA,90277,AURORA BANK FSB,CO,531210,16692,2005,250,1,1,0,1,1,1,0,N,16709,604000,0,604000,453000,0,1,0.75,0,7500,24209
P I F,8502044003,CALCOM REALTY AND OC HOME IMPR,MURRIETA,CA,92563,CALIFORNIA BANK & TRUST,CA,531210,16456,2005,300,2,1,1,3,1,1,0,N,16556,178000,0,178000,133500,0,1,0.75,0,9000,25556
P I F,3743664010,RENT-A-WRECK,SAN DIEGO,CA,92102,CDC SMALL BUS. FINAN CORP,CA,532111,14746,2000,240,6,1,4,6,1,1,N,N,14866,129000,0,129000,129000,0,1,1,0,7200,22066
CHGOFF,1615735010,Ronald L. Roberts dba Realty E,Sacramento,CA,95831,CALIFORNIA BANK & TRUST,CA,531210,16814,2006,46,7,1,0,7,0,1,Y,N,16832,85000,0,50000,25000,0,0,0.5,0,1380,18212
CHGOFF,2230636004,REZADO'S PARTY SUPPLY,MORENO,CA,92553,"CITIBANK, N.A.",SD,532299,16995,2006,61,2,1,0,2,1,1,Y,N,17013,14950,0,10000,5000,0,0,0.5,0,1830,18843
P I F,6433283005,WALT'S TV & VIDEO,SAN LEANDRO,CA,94577,BANK OF AMERICA CALIFORNIA N.A,CA,532230,12501,1994,60,7,1,0,0,1,0,N,N,12538,58000,0,58000,40600,0,0,0.7,0,1800,14338
P I F,5377614004,MARTIN LEASING CO,BEVERLY GLEN,CA,90212,COMERICA BANK,TX,532420,15463,2002,300,13,1,0,13,1,1,0,N,15491,925000,0,925000,693750,0,1,0.75,0,9000,24491
CHGOFF,8958064007,CARVEL CINNABON,FOLSOM,CA,95630,WELLS FARGO BANK NATL ASSOC,SD,532490,16616,2005,110,1,2,9,1,15100,1,0,N,16740,356778,0,360100,270075,1,0,0.75,0,3300,20040
CHGOFF,6268354004,PUSAN VIDEO,OAKLAND,CA,94612,HANMI BANK,CA,532230,15818,2003,96,3,1,0,0,1,1,0,Y,15886,110000,0,110000,93500,0,0,0.85,0,2880,18766
P I F,4952894010,ISLETON VIDEO & GIFTS,ISLETON,CA,95641,UMPQUA BANK,CA,532230,15246,2001,84,1,1,1,1,1,2,0,N,15279,25000,0,25000,21250,0,0,0.85,1,2520,17799
P I F,4350254009,MUNKA INC,BERKELEY,CA,94710,WELLS FARGO BANK NATL ASSOC,CA,532490,15039,2001,60,4,1,0,4,1,1,Y,N,15065,35000,0,35000,17500,0,0,0.5,0,1800,16865
CHGOFF,2797035006,"INVESTMENTS BY DEARDEN2.COM, I",DESERT HOT SPRINGS,CA,92240,CAPITAL ONE NATL ASSOC,VA,531210,17476,2008,60,1,1,0,1,0,1,Y,N,17500,132578,0,50000,25000,0,0,0.5,0,1800,19300
P I F,6079414010,OCEANVIEW REALTY,OCEANSIDE,CA,92054,CDC SMALL BUS. FINAN CORP,CA,531210,15742,2003,240,4,1,2,4,1,1,N,N,15839,256000,0,256000,256000,0,1,1,0,7200,23039
P I F,4440704006,CACCAMISE ENTERPRISES,SAN DIEGO,CA,92109,CITY NATIONAL BANK,CA,531311,15077,2001,120,12,1,0,0,1,1,N,N,15126,270000,0,270000,202500,0,0,0.75,0,3600,18726
CHGOFF,9091404003,STAGE STOP RANCH & LAND,CALIENTE,CA,93518,WELLS FARGO BANK NATL ASSOC,SD,531210,16688,2005,23,4,1,0,4,1,2,Y,N,16982,81868,0,30000,15000,0,0,0.5,1,690,17672
P I F,8913294002,COLDWELL BANKER TOWNE AND COUN,MIDDLETOWN,CA,95461,BAY AREA EMPLOYMENT DEVEL CO,CA,531210,16595,2005,240,35,1,10,0,18000,2,0,N,16903,171000,0,179000,179000,0,1,1,0,7200,24103
P I F,4094194004,NEUMAN & NEUMAN REAL ESTATE,SAN DIEGO,CA,92101,CDC SMALL BUS. FINAN CORP,CA,531210,14943,2001,240,15,1,5,15,1,1,N,N,15503,536000,0,536000,536000,0,1,1,0,7200,22703
P I F,6482844010,OMNI VIDEO,LA HABRA,CA,90631,HANMI BANK,CA,532230,15896,2003,60,2,1,0,2,1,1,0,N,15948,45000,0,45000,22500,0,0,0.5,1,1800,17748
P I F,4378414000,REZA AMIN MARY T COLEY AND MOH,LOS ANGELES,CA,90006,CITIZENS BUSINESS BANK,CA,532230,15050,2001,300,35,1,0,35,1,1,0,N,15095,333000,0,333000,249750,0,1,0.75,0,9000,24095
P I F,9798084007,BRADLEY'S BOUNCIES,MISSION VIEJO,CA,92692,JPMORGAN CHASE BANK NATL ASSOC,IL,532292,16828,2006,84,2,1,0,2,1,2,Y,N,16921,34817,0,21000,10500,0,0,0.5,0,2520,19441
P I F,1206515002,Personalized Property Manageme,BEVERLY HILLS,CA,90210,BANK OF AMERICA NATL ASSOC,NC,531312,16491,2005,84,2,1,1,2,1,1,Y,N,16526,19700,0,10000,5000,0,0,0.5,0,2520,19046
CHGOFF,2234775001,Millineums Central,COMPTON,CA,90222,BANK OF AMERICA NATL ASSOC,NC,531311,17189,2007,57,2,1,0,2,0,1,N,N,17197,89000,0,50000,25000,0,0,0.5,0,1710,18907
P I F,7660724007,TRINITY RIVER REALTY/REALTY WO,WEAVERVILLE,CA,96093,NORTH VALLEY BANK,CA,531210,16285,2004,300,6,1,0,0,1,2,0,N,16344,130000,0,130000,110500,0,1,0.85,0,9000,25344
CHGOFF,2546246001,E & M PEGASUS INVESTMENT GROUP,IRVINE,CA,92618,SOUTHLAND ECONOMIC DEVEL CORP,CA,531210,17129,2007,240,10,1,7,10,1,1,0,N,17302,322000,0,322000,322000,0,1,1,0,7200,24502
P I F,6202364004,SUNSHINE RENTALS,VISTA,CA,92083,CDC SMALL BUS. FINAN CORP,CA,532310,15791,2003,240,15,1,15,15,1,1,N,N,15902,422000,0,422000,422000,0,1,1,0,7200,23102
P I F,2713416002,PACIFIC SHORE FINANCE,ORANGE,CA,92868,CDC SMALL BUS. FINAN CORP,CA,531210,17239,2007,240,17,1,5,0,1,1,0,N,17302,720000,0,720000,720000,0,1,1,0,7200,24502
CHGOFF,2456296001,ENVIRIAN EAST BAY,WALNUT CREEK,CA,94597,WELLS FARGO BANK NATL ASSOC,SD,531210,17078,2007,98,2,2,2,2,28233,1,0,N,17225,251000,0,251000,188250,1,0,0.75,0,2940,20165
CHGOFF,2907016009,PRIDENET.NET,BREA,CA,92821,"CITIBANK, N.A.",SD,531210,17367,2007,75,6,1,1,6,1,1,Y,N,17409,79860,0,50000,25000,0,0,0.5,0,2250,19659
CHGOFF,3291005005,MONUMENTAL REALTY AND LENDING,PALMDALE,CA,93551,"SUPERIOR FINANCIAL GROUP, LLC",CA,531210,17889,2009,92,2,1,2,2,0,1,N,N,17897,7500,0,7500,6375,0,0,0.85,0,2760,20657
CHGOFF,3322135002,ESCROW L.A. INC,SANTA MONICA,CA,90272,"SUPERIOR FINANCIAL GROUP, LLC",CA,531390,17946,2009,120,3,1,0,3,0,1,N,N,17956,5000,0,5000,4250,0,0,0.85,0,3600,21556
P I F,7964164004,SAN FERNANDO REALTY INC,SYLMAR,CA,91342,NATIONAL BANK OF CALIFORNIA,CA,531210,16364,2005,300,5,1,5,10,1,1,0,N,16375,640000,0,640000,480000,0,1,0.75,0,9000,25375
P I F,2632905009,MAN S KIM REAL ESTATE,SANTA CLARA,CA,95051,U.S. BANK NATIONAL ASSOCIATION,OH,531210,17391,2007,84,6,1,0,6,0,1,Y,N,17409,29672,0,15000,7500,0,0,0.5,0,2520,19929
CHGOFF,2716366006,QUACH HOLDINGS LLC,SAN DIEGO,CA,92130,"CITIBANK, N.A.",SD,531210,17241,2007,84,2,1,2,2,1,1,Y,N,17256,18238,0,10000,5000,0,0,0.5,0,2520,19776
P I F,3444925001,Central Valley Property Manage,TURLOCK,CA,95382,U.S. BANK NATIONAL ASSOCIATION,OH,531311,18049,2009,84,7,1,0,7,0,2,Y,N,18109,50570,0,30000,15000,0,0,0.5,0,2520,20629
P I F,4582364006,"ZIGANTI, S/R & VICKNER, F/M",SCOTTS VALLEY,CA,95066,HERITAGE BANK OF COMMERCE,CA,531210,15141,2001,300,6,1,0,6,1,1,0,N,15156,280000,0,350000,262500,0,1,0.75,0,9000,24156
CHGOFF,2266465007,"EventRents, Inc.",Ventura,CA,93003,MUFG UNION BANK NATL ASSOC,CA,532299,17205,2007,84,16,1,0,16,0,1,Y,N,17225,37500,0,25000,12500,0,0,0.5,0,2520,19745
P I F,9672394000,MT VIDEO,FRESNO,CA,93728,WELLS FARGO BANK NATL ASSOC,CA,532230,16814,2006,60,1,1,0,1,1,1,Y,N,17044,30300,0,30000,15000,0,0,0.5,0,1800,18844
CHGOFF,2010596003,F AND F FINANCIAL SERVICES,MURRIETA,CA,92562,CALIFORNIA BANK & TRUST,CA,531210,16933,2006,259,2,1,2,2,1,1,0,N,17013,502530,0,521538,391153,0,1,0.749999041,0,7770,24783
P I F,1933915000,NORTHSTAR REALTY GROUP & INVES,HAWAIIAN GARDENS,CA,90716,CAPITAL ONE NATL ASSOC,VA,531210,17006,2006,84,2,1,0,2,0,1,N,N,17074,100000,0,100000,50000,0,0,0.5,0,2520,19594
P I F,6460864004,KURT MOTEL MANAGEMENT,VICTORVILLE,CA,92392,BANK OF AMERICA NATL ASSOC,NC,531312,15887,2003,84,1,1,0,1,1,1,Y,N,15978,10000,0,10000,5000,0,0,0.5,0,2520,18498
P I F,1340535009,"Mathis & Associates, Inc.",ROSEVILLE,CA,95678,BANK OF AMERICA NATL ASSOC,NC,531210,16603,2005,55,3,1,0,3,1,1,T,N,16679,109000,0,50000,25000,0,0,0.5,0,1650,18329
CHGOFF,7107714009,MEGA VALUE VIDEO,SUN VILLAGE,CA,91306,BANK OF AMERICA NATL ASSOC,NC,532230,16090,2004,20,6,1,0,6,1,1,N,N,16161,100000,0,50000,25000,0,0,0.5,0,600,16761
CHGOFF,6331234007,EUROHOUSE & YUMBO ENTERPRISES,TOLUCA LAKE,CA,91602,BANK OF AMERICA NATL ASSOC,NC,531390,15845,2003,58,8,1,1,8,1,1,Y,N,15886,49950,0,50000,25000,0,0,0.5,1,1740,17626
P I F,5791764009,KHC INC,LOS ANGELES,CA,90068,BANK OF AMERICA NATL ASSOC,NC,531210,15634,2003,84,1,1,0,1,1,1,Y,N,15674,40000,0,40000,20000,0,0,0.5,0,2520,18194
P I F,3685855005,"JANICE FASHION, INC.",LOS ANGELES,CA,90007,BBCN BANK,CA,531120,18178,2010,300,5,1,2,7,0,1,N,N,18178,580000,0,580000,522000,0,1,0.9,0,9000,27178
P I F,7499584005,WISHON MANAGEMENT,WOODLAND HILLS,CA,91364,BANK OF AMERICA NATL ASSOC,NC,531210,16226,2004,84,2,2,0,2,1,1,Y,N,16405,20000,0,10000,5000,1,0,0.5,0,2520,18925
P I F,7963274000,VIDEO ALL STARS,GRANADA HILLS,CA,91344,BBCN BANK,CA,532230,16364,2005,24,3,1,3,3,1,1,Y,N,16436,100000,0,100000,50000,0,0,0.5,0,720,17156
P I F,1585095006,Norair Youssefian,Glendale,CA,91205,WELLS FARGO BANK NATL ASSOC,CA,531210,16789,2006,300,4,1,4,8,0,1,N,N,16832,952000,0,952000,714000,0,1,0.75,0,9000,25832
P I F,5113304001,CINDY ANN BARATTA,TUSTIN,CA,92780,OPUS BANK,CA,531210,15327,2002,300,5,1,0,5,1,1,0,N,15371,148500,0,148500,126225,0,1,0.85,0,9000,24371
P I F,4294993006,WEST COAST VIDEO/LANPY ENTERPR,AGOURA HILLS,CA,91301,GE CAP. SMALL BUS. FINAN CORP,TX,532230,11263,1991,120,6,2,0,0,88407,0,N,N,11534,200000,0,200000,170000,1,0,0.85,0,3600,15134
CHGOFF,2721965007,"Cha' De' L Associates, LLC.",SALINAS,CA,93905,BANK OF AMERICA NATL ASSOC,NC,531210,17434,2007,57,1,2,0,1,0,1,Y,N,17470,7500,0,5000,2500,1,0,0.5,0,1710,19180
CHGOFF,3191624010,VIDEO GALAXY,SACRAMENTO,CA,95842,TRI COUNTIES BANK,CA,532230,14508,1999,93,3,2,0,0,1,1,0,Y,14578,65000,0,65000,52000,1,0,0.8,0,2790,17368
CHGOFF,1063815000,California Percussion LLC,SOUTH SAN FRANCISCO,CA,94080,BANK OF AMERICA NATL ASSOC,NC,532299,16334,2004,84,3,1,0,0,1,1,Y,N,16344,25530,0,20000,10000,0,0,0.5,0,2520,18864
CHGOFF,2611415005,PACIFIC QUEST MORTGAGE INC,SAN DIEGO,CA,92128,WELLS FARGO BANK NATL ASSOC,SD,531210,17379,2007,70,15,2,4,19,0,1,Y,N,17439,52103,0,35000,17500,1,0,0.5,0,2100,19539
CHGOFF,7136054000,HOMEWARD BOUND,LA MESA,CA,91942,BANK OF AMERICA NATL ASSOC,NC,531210,16100,2004,31,1,1,0,1,1,1,T,N,16130,17000,0,17000,8500,0,0,0.5,0,930,17060
CHGOFF,7017704002,SOUTH COAST RENT A CAR,NEWPORT BEACH,CA,92660,BANK OF AMERICA NATL ASSOC,NC,532111,16049,2004,29,9,1,0,9,1,1,Y,N,16070,50000,0,50000,25000,0,0,0.5,0,870,16940
CHGOFF,2097875010,"JOHN GRAHAM REALTORS, INC.",PALM SPRINGS,CA,92264,CAPITAL ONE NATL ASSOC,VA,531210,17105,2007,67,1,1,1,1,0,1,N,N,17166,35000,0,35000,17500,0,0,0.5,0,2010,19176
CHGOFF,5759904003,1 AM WORLD EXPRESS 2 AM WORLD,LAWNDALE,CA,90260,HANMI BANK,CA,532111,15617,2003,300,12,1,0,12,1,1,0,N,15705,562500,0,562500,421875,0,1,0.75,0,9000,24705
CHGOFF,8569404009,VIDEO CITY,DAVIS,CA,95616,GOLDEN PACIFIC BANK NATL ASSOC,CA,532230,16470,2005,52,3,2,0,0,1,1,0,Y,16556,85000,0,85000,72250,1,0,0.85,0,1560,18116
P I F,4348705010,RD Realty Services,EUREKA,CA,95501,U.S. BANK NATIONAL ASSOCIATION,OH,531210,18569,2011,84,2,1,0,2,0,2,Y,N,18569,12781,0,10000,5000,0,0,0.5,0,2520,21089
CHGOFF,1943516009,TOTAL SERVICES REALTY,TOPANGA,CA,90503,"CITIBANK, N.A.",SD,531210,16925,2006,60,10,1,2,10,1,1,Y,N,16982,110000,0,100000,50000,0,0,0.5,0,1800,18782
P I F,4401163000,LEASEMOBILE,SONORA,CA,95370,INNOVATIVE BANK,CA,532112,11394,1991,300,2,1,0,0,1,0,N,N,11442,240000,0,240000,204000,0,1,0.85,0,9000,20442
CHGOFF,9273844007,1ST COMPUTER & NETWORK SOLUTIO,OAKDALE,CA,95361,JPMORGAN CHASE BANK NATL ASSOC,IL,532420,16755,2006,56,2,1,1,2,1,2,Y,N,16770,60046,0,30000,15000,0,0,0.5,0,1680,18450
CHGOFF,4610264009,PRUDENTIAL CALIFORNIA REALTY,GLENDALE,CA,91201,CALIFORNIA STATEWIDE CERT. DEV,CA,531210,15153,2001,240,55,1,40,0,67219,1,0,N,15265,1000000,0,1000000,1000000,0,1,1,0,7200,22465
P I F,9165874008,CARDINAL & GOLD REAL ESTATE SE,DOWNEY,CA,90240,ADVANTAGE CERT. DEVEL CORP,CA,531210,16722,2006,240,5,1,65,0,1,1,0,N,16938,1152000,0,1152000,1152000,0,1,1,0,7200,24138
P I F,7081354009,SOURCE LIGHTING & GRIP RENTALS,LOS ANGELES,CA,90038,CALIFORNIA BANK & TRUST,CA,532490,16072,2004,300,5,1,0,5,1,1,0,N,16130,450000,0,450000,337500,0,1,0.75,0,9000,25130
CHGOFF,2435325002,BETTER BUSINESS CONCEPTS INC.,HESPERIA,CA,92344,U.S. BANK NATIONAL ASSOCIATION,OH,531390,17290,2007,68,3,1,0,3,0,1,Y,N,17317,72676,0,50000,25000,0,0,0.5,0,2040,19357
CHGOFF,2932065008,ELIZABETH CHRISTINA MADRID DBA,TULARE,CA,93274,CAPITAL ONE NATL ASSOC,VA,531210,17561,2008,44,5,1,0,5,0,1,Y,N,17622,114584,0,50000,25000,0,0,0.5,0,1320,18942
P I F,1097055006,Artur Ambarachyan dba Millenni,GLENDALE,CA,91208,BANK OF AMERICA NATL ASSOC,NC,531210,16378,2005,84,4,1,0,0,1,1,Y,N,16405,25000,0,25000,12500,0,0,0.5,0,2520,18925
P I F,2561485005,REGINA GAIL BELLAMY DBA ELITE,SACRAMENTO,CA,95828,CAPITAL ONE NATL ASSOC,VA,531210,17357,2007,84,1,1,1,1,0,1,N,N,17378,15000,0,15000,7500,0,0,0.5,0,2520,19898
CHGOFF,2259535006,"Casper Investments, Inc.",NORCO,CA,92860,BANK OF AMERICA NATL ASSOC,NC,531210,17202,2007,62,6,1,0,6,0,1,N,N,17225,55000,0,35000,17500,0,0,0.5,0,1860,19085
P I F,3594804010,THOMAS ASSOCIATES,VENTURA (CORPORATE NAME SAN BU,CA,93003,FIRST BANK,CA,531210,14658,2000,300,6,1,6,6,1,1,0,N,14700,348000,0,348000,261000,0,1,0.75,0,9000,23700
P I F,2431515003,"Investment Made EZ, Corporatio",MORENO VALLEY,CA,92557,BANK OF AMERICA NATL ASSOC,NC,531390,17288,2007,84,4,2,0,4,0,1,Y,N,17347,8500,0,4500,2250,1,0,0.5,0,2520,19867
CHGOFF,9064614001,A & S RENT A CAR,INGLEWOOD,CA,90301,WELLS FARGO BANK NATL ASSOC,SD,532111,16673,2005,5,5,1,0,5,1,1,Y,N,16709,466981,0,95000,47500,0,0,0.5,0,150,16859
P I F,3565363003,U-SAVE AUTO RENTAL,INGLEWOOD,CA,90301,CATHAY BANK,CA,532112,10892,1990,240,1,1,0,0,1,0,N,N,10988,270000,0,270000,229500,0,1,0.85,0,7200,18188
CHGOFF,5346384004,STEVENSON SUPPLY & TRACTOR CO,SANTA ROSA,CA,95403,UMPQUA BANK,OR,532412,15448,2002,252,14,1,2,14,1,1,0,N,15552,300000,0,300000,225000,0,1,0.75,0,7560,23112
P I F,1006295003,Ronald Lee Roberts,SACRAMENTO,CA,95831,CALIFORNIA BANK & TRUST,CA,531210,15813,2003,84,1,1,0,0,1,0,Y,N,15825,55825,0,50000,25000,0,0,0.5,0,2520,18345
CHGOFF,2596705010,BAYWEST EQUITIES INC,SAN DIEGO,CA,92108,"SUPERIOR FINANCIAL GROUP, LLC",CA,531390,17372,2007,107,28,1,0,28,0,1,N,N,17378,12500,0,12500,10625,0,0,0.85,0,3210,20588
P I F,8398353005,NEIGHBOR VIDEO,SAN PABLO,CA,94804,LOANS FROM OLD CLOSED LENDERS,DC,532230,12940,1995,300,3,1,0,0,1,0,0,N,12995,156000,0,156000,109200,0,1,0.7,0,9000,21995
CHGOFF,8539804010,Reynaldo C Munive,CHINO,CA,91730,CDC SMALL BUS. FINAN CORP,CA,531210,16463,2005,240,5,1,7,0,1,1,0,N,16812,373000,0,388000,388000,0,1,1,0,7200,24012
